dataset,model,mean_acc,std_acc,num_runs_filtered,margin_of_error,confidence_interval
Epilepsy,1d_conv_circular_conv_sinusoidal,0.8334,0.0222,8,0.0149,0.8334 ± 0.0149
Epilepsy,1d_conv_circular_conv_split_sinusoidal,0.8052,0.0252,9,0.0156,0.8052 ± 0.0156
Epilepsy,1d_conv_component_wise_sinusoidal,0.7871,0.2260,8,0.1514,0.7871 ± 0.1514
Epilepsy,linear_additive_sinusoidal,0.8953,0.0355,9,0.0220,0.8953 ± 0.0220
Epilepsy,linear_additive_split_sinusoidal,0.9158,0.0268,8,0.0180,0.9158 ± 0.0180
Epilepsy,linear_circular_conv_sinusoidal,0.8134,0.0352,8,0.0236,0.8134 ± 0.0236
Epilepsy,linear_component_wise_sinusoidal,0.6730,0.2577,8,0.1726,0.6730 ± 0.1726
Epilepsy,linear_component_wise_split_sinusoidal,0.5752,0.2664,8,0.1784,0.5752 ± 0.1784
EthanolConcentration,1d_conv_additive_sinusoidal,0.2486,0.0140,8,0.0094,0.2486 ± 0.0094
EthanolConcentration,1d_conv_circular_conv_sinusoidal,0.2714,0.0084,8,0.0056,0.2714 ± 0.0056
EthanolConcentration,1d_conv_circular_conv_split_sinusoidal,0.2610,0.0138,8,0.0092,0.2610 ± 0.0092
EthanolConcentration,1d_conv_component_wise_sinusoidal,0.2638,0.0117,8,0.0078,0.2638 ± 0.0078
EthanolConcentration,linear_additive_sinusoidal,0.2713,0.0160,9,0.0099,0.2713 ± 0.0099
EthanolConcentration,linear_additive_split_sinusoidal,0.2658,0.0176,9,0.0109,0.2658 ± 0.0109
EthanolConcentration,linear_circular_conv_sinusoidal,0.2672,0.0130,8,0.0087,0.2672 ± 0.0087
EthanolConcentration,linear_component_wise_sinusoidal,0.2497,0.0151,9,0.0094,0.2497 ± 0.0094
EthanolConcentration,linear_component_wise_split_sinusoidal,0.2714,0.0122,8,0.0082,0.2714 ± 0.0082
FaceDetection,1d_conv_additive_sinusoidal,0.5076,0.0092,8,0.0062,0.5076 ± 0.0062
FaceDetection,1d_conv_circular_conv_sinusoidal,0.6640,0.0044,8,0.0029,0.6640 ± 0.0029
FaceDetection,1d_conv_circular_conv_split_sinusoidal,0.6675,0.0062,8,0.0041,0.6675 ± 0.0041
FaceDetection,1d_conv_component_wise_sinusoidal,0.6055,0.0771,8,0.0517,0.6055 ± 0.0517
FaceDetection,linear_additive_sinusoidal,0.5005,0.0069,8,0.0046,0.5005 ± 0.0046
FaceDetection,linear_additive_split_sinusoidal,0.4992,0.0063,8,0.0042,0.4992 ± 0.0042
FaceDetection,linear_circular_conv_sinusoidal,0.6622,0.0035,8,0.0023,0.6622 ± 0.0023
FaceDetection,linear_component_wise_sinusoidal,0.6379,0.0593,8,0.0398,0.6379 ± 0.0398
FaceDetection,linear_component_wise_split_sinusoidal,0.6350,0.0506,8,0.0339,0.6350 ± 0.0339
FingerMovements,1d_conv_additive_sinusoidal,0.5350,0.0338,8,0.0226,0.5350 ± 0.0226
FingerMovements,1d_conv_circular_conv_sinusoidal,0.4988,0.0230,8,0.0154,0.4988 ± 0.0154
FingerMovements,1d_conv_circular_conv_split_sinusoidal,0.4775,0.0276,8,0.0185,0.4775 ± 0.0185
FingerMovements,1d_conv_component_wise_sinusoidal,0.4900,0.0321,8,0.0215,0.4900 ± 0.0215
FingerMovements,linear_additive_sinusoidal,0.4675,0.0292,8,0.0195,0.4675 ± 0.0195
FingerMovements,linear_additive_split_sinusoidal,0.5100,0.0227,8,0.0152,0.5100 ± 0.0152
FingerMovements,linear_circular_conv_sinusoidal,0.4975,0.0427,8,0.0286,0.4975 ± 0.0286
FingerMovements,linear_component_wise_sinusoidal,0.4767,0.0433,9,0.0268,0.4767 ± 0.0268
FingerMovements,linear_component_wise_split_sinusoidal,0.5044,0.0313,9,0.0194,0.5044 ± 0.0194
HandMovementDirection,1d_conv_additive_sinusoidal,0.4003,0.0100,8,0.0067,0.4003 ± 0.0067
HandMovementDirection,1d_conv_circular_conv_sinusoidal,0.4324,0.0536,8,0.0359,0.4324 ± 0.0359
HandMovementDirection,1d_conv_circular_conv_split_sinusoidal,0.4409,0.0239,8,0.0160,0.4409 ± 0.0160
HandMovementDirection,1d_conv_component_wise_sinusoidal,0.4206,0.0210,8,0.0140,0.4206 ± 0.0140
HandMovementDirection,linear_additive_sinusoidal,0.3970,0.0124,8,0.0083,0.3970 ± 0.0083
HandMovementDirection,linear_additive_split_sinusoidal,0.3970,0.0190,8,0.0127,0.3970 ± 0.0127
HandMovementDirection,linear_circular_conv_sinusoidal,0.4324,0.0339,8,0.0227,0.4324 ± 0.0227
HandMovementDirection,linear_component_wise_sinusoidal,0.4234,0.0608,9,0.0377,0.4234 ± 0.0377
HandMovementDirection,linear_component_wise_split_sinusoidal,0.3834,0.0573,8,0.0384,0.3834 ± 0.0384
Handwriting,1d_conv_additive_sinusoidal,0.1070,0.0782,8,0.0524,0.1070 ± 0.0524
Handwriting,1d_conv_circular_conv_sinusoidal,0.1584,0.0212,8,0.0142,0.1584 ± 0.0142
Handwriting,1d_conv_circular_conv_split_sinusoidal,0.1758,0.0227,8,0.0152,0.1758 ± 0.0152
Handwriting,1d_conv_component_wise_sinusoidal,0.1718,0.0194,8,0.0130,0.1718 ± 0.0130
Handwriting,linear_additive_sinusoidal,0.0730,0.0372,8,0.0249,0.0730 ± 0.0249
Handwriting,linear_additive_split_sinusoidal,0.1354,0.0492,8,0.0329,0.1354 ± 0.0329
Handwriting,linear_circular_conv_sinusoidal,0.1707,0.0268,8,0.0180,0.1707 ± 0.0180
Handwriting,linear_component_wise_sinusoidal,0.1424,0.0467,8,0.0313,0.1424 ± 0.0313
Handwriting,linear_component_wise_split_sinusoidal,0.1625,0.0161,8,0.0108,0.1625 ± 0.0108
Heartbeat,1d_conv_additive_sinusoidal,0.4737,0.1079,9,0.0669,0.4737 ± 0.0669
Heartbeat,1d_conv_circular_conv_sinusoidal,0.7244,0.0128,8,0.0085,0.7244 ± 0.0085
Heartbeat,1d_conv_circular_conv_split_sinusoidal,0.7348,0.0173,8,0.0116,0.7348 ± 0.0116
Heartbeat,1d_conv_component_wise_sinusoidal,0.7281,0.0089,8,0.0060,0.7281 ± 0.0060
Heartbeat,linear_additive_sinusoidal,0.4732,0.1088,8,0.0729,0.4732 ± 0.0729
Heartbeat,linear_additive_split_sinusoidal,0.5134,0.0844,8,0.0565,0.5134 ± 0.0565
Heartbeat,linear_circular_conv_sinusoidal,0.7323,0.0146,8,0.0098,0.7323 ± 0.0098
Heartbeat,linear_component_wise_sinusoidal,0.7226,0.0280,8,0.0188,0.7226 ± 0.0188
Heartbeat,linear_component_wise_split_sinusoidal,0.7158,0.0090,8,0.0060,0.7158 ± 0.0060
InsectWingbeat,1d_conv_additive_sinusoidal,0.0986,0.0042,8,0.0028,0.0986 ± 0.0028
InsectWingbeat,1d_conv_circular_conv_sinusoidal,0.5850,0.0023,8,0.0015,0.5850 ± 0.0015
InsectWingbeat,1d_conv_circular_conv_split_sinusoidal,0.5696,0.0038,8,0.0025,0.5696 ± 0.0025
InsectWingbeat,1d_conv_component_wise_sinusoidal,0.6028,0.0025,8,0.0017,0.6028 ± 0.0017
InsectWingbeat,linear_additive_sinusoidal,0.0945,0.0024,8,0.0016,0.0945 ± 0.0016
InsectWingbeat,linear_additive_split_sinusoidal,0.0999,0.0019,8,0.0013,0.0999 ± 0.0013
InsectWingbeat,linear_circular_conv_sinusoidal,0.6144,0.0024,9,0.0015,0.6144 ± 0.0015
InsectWingbeat,linear_component_wise_sinusoidal,0.6341,0.0028,8,0.0019,0.6341 ± 0.0019
InsectWingbeat,linear_component_wise_split_sinusoidal,0.6354,0.0043,8,0.0029,0.6354 ± 0.0029
LSST,1d_conv_additive_sinusoidal,0.0606,0.0409,8,0.0274,0.0606 ± 0.0274
LSST,1d_conv_circular_conv_sinusoidal,0.5477,0.0147,8,0.0098,0.5477 ± 0.0098
LSST,1d_conv_circular_conv_split_sinusoidal,0.5565,0.0067,8,0.0045,0.5565 ± 0.0045
LSST,1d_conv_component_wise_sinusoidal,0.6095,0.0078,8,0.0052,0.6095 ± 0.0052
LSST,linear_additive_sinusoidal,0.2758,0.1356,8,0.0909,0.2758 ± 0.0909
LSST,linear_additive_split_sinusoidal,0.3809,0.0337,8,0.0226,0.3809 ± 0.0226
LSST,linear_circular_conv_sinusoidal,0.5535,0.0104,8,0.0070,0.5535 ± 0.0070
LSST,linear_component_wise_sinusoidal,0.5968,0.0130,8,0.0087,0.5968 ± 0.0087
LSST,linear_component_wise_split_sinusoidal,0.5899,0.0111,8,0.0074,0.5899 ± 0.0074
Libras,1d_conv_additive_sinusoidal,0.3090,0.3063,8,0.2052,0.3090 ± 0.2052
Libras,1d_conv_circular_conv_sinusoidal,0.6569,0.0231,8,0.0155,0.6569 ± 0.0155
Libras,1d_conv_circular_conv_split_sinusoidal,0.6648,0.0202,9,0.0125,0.6648 ± 0.0125
Libras,1d_conv_component_wise_sinusoidal,0.6743,0.0264,8,0.0177,0.6743 ± 0.0177
Libras,linear_additive_sinusoidal,0.6819,0.0198,8,0.0133,0.6819 ± 0.0133
Libras,linear_additive_split_sinusoidal,0.7021,0.0222,8,0.0149,0.7021 ± 0.0149
Libras,linear_circular_conv_sinusoidal,0.6320,0.0278,8,0.0186,0.6320 ± 0.0186
Libras,linear_component_wise_sinusoidal,0.5799,0.2090,8,0.1400,0.5799 ± 0.1400
Libras,linear_component_wise_split_sinusoidal,0.5993,0.2073,8,0.1388,0.5993 ± 0.1388
MotorImagery,1d_conv_additive_sinusoidal,0.4889,0.0333,9,0.0207,0.4889 ± 0.0207
MotorImagery,1d_conv_circular_conv_sinusoidal,0.4811,0.0314,9,0.0195,0.4811 ± 0.0195
MotorImagery,1d_conv_circular_conv_split_sinusoidal,0.5067,0.0350,9,0.0217,0.5067 ± 0.0217
MotorImagery,1d_conv_component_wise_sinusoidal,0.4950,0.0515,8,0.0345,0.4950 ± 0.0345
MotorImagery,linear_additive_sinusoidal,0.4912,0.0270,8,0.0181,0.4912 ± 0.0181
MotorImagery,linear_additive_split_sinusoidal,0.4775,0.0271,8,0.0182,0.4775 ± 0.0182
MotorImagery,linear_circular_conv_sinusoidal,0.5022,0.0387,9,0.0240,0.5022 ± 0.0240
MotorImagery,linear_component_wise_sinusoidal,0.4600,0.0346,9,0.0215,0.4600 ± 0.0215
MotorImagery,linear_component_wise_split_sinusoidal,0.4950,0.0351,8,0.0235,0.4950 ± 0.0235
NATOPS,1d_conv_additive_sinusoidal,0.4528,0.3257,8,0.2181,0.4528 ± 0.2181
NATOPS,1d_conv_circular_conv_sinusoidal,0.8000,0.0230,8,0.0154,0.8000 ± 0.0154
NATOPS,1d_conv_circular_conv_split_sinusoidal,0.8222,0.0296,8,0.0198,0.8222 ± 0.0198
NATOPS,1d_conv_component_wise_sinusoidal,0.8459,0.0325,8,0.0218,0.8459 ± 0.0218
NATOPS,linear_additive_sinusoidal,0.7070,0.0322,8,0.0216,0.7070 ± 0.0216
NATOPS,linear_additive_split_sinusoidal,0.7389,0.0218,8,0.0146,0.7389 ± 0.0146
NATOPS,linear_circular_conv_sinusoidal,0.7861,0.0529,8,0.0354,0.7861 ± 0.0354
NATOPS,linear_component_wise_sinusoidal,0.8285,0.0526,8,0.0352,0.8285 ± 0.0352
NATOPS,linear_component_wise_split_sinusoidal,0.8479,0.0417,8,0.0279,0.8479 ± 0.0279
PEMS-SF,1d_conv_additive_sinusoidal,0.1488,0.0455,8,0.0305,0.1488 ± 0.0305
PEMS-SF,1d_conv_circular_conv_sinusoidal,0.7876,0.0383,8,0.0257,0.7876 ± 0.0257
PEMS-SF,1d_conv_circular_conv_split_sinusoidal,0.8071,0.0304,8,0.0204,0.8071 ± 0.0204
PEMS-SF,1d_conv_component_wise_sinusoidal,0.7854,0.0254,8,0.0170,0.7854 ± 0.0170
PEMS-SF,linear_additive_sinusoidal,0.1329,0.0257,8,0.0172,0.1329 ± 0.0172
PEMS-SF,linear_additive_split_sinusoidal,0.3107,0.2239,8,0.1500,0.3107 ± 0.1500
PEMS-SF,linear_circular_conv_sinusoidal,0.7900,0.0409,9,0.0254,0.7900 ± 0.0254
PEMS-SF,linear_component_wise_sinusoidal,0.7847,0.0258,8,0.0173,0.7847 ± 0.0173
PEMS-SF,linear_component_wise_split_sinusoidal,0.7637,0.0280,8,0.0188,0.7637 ± 0.0188
PenDigits,1d_conv_additive_sinusoidal,0.9807,0.0018,8,0.0012,0.9807 ± 0.0012
PenDigits,1d_conv_circular_conv_sinusoidal,0.9790,0.0039,9,0.0024,0.9790 ± 0.0024
PenDigits,1d_conv_circular_conv_split_sinusoidal,0.9793,0.0020,8,0.0014,0.9793 ± 0.0014
PenDigits,1d_conv_component_wise_sinusoidal,0.9858,0.0017,8,0.0011,0.9858 ± 0.0011
PenDigits,linear_additive_sinusoidal,0.9778,0.0022,9,0.0013,0.9778 ± 0.0013
PenDigits,linear_additive_split_sinusoidal,0.9786,0.0015,8,0.0010,0.9786 ± 0.0010
PenDigits,linear_circular_conv_sinusoidal,0.9444,0.0056,8,0.0037,0.9444 ± 0.0037
PenDigits,linear_component_wise_sinusoidal,0.9575,0.0028,8,0.0018,0.9575 ± 0.0018
PenDigits,linear_component_wise_split_sinusoidal,0.9571,0.0045,8,0.0030,0.9571 ± 0.0030
PhonemeSpectra,1d_conv_additive_sinusoidal,0.0304,0.0064,8,0.0043,0.0304 ± 0.0043
PhonemeSpectra,1d_conv_circular_conv_sinusoidal,0.1528,0.0075,8,0.0050,0.1528 ± 0.0050
PhonemeSpectra,1d_conv_circular_conv_split_sinusoidal,0.1540,0.0028,8,0.0019,0.1540 ± 0.0019
PhonemeSpectra,1d_conv_component_wise_sinusoidal,0.1532,0.0060,8,0.0040,0.1532 ± 0.0040
PhonemeSpectra,linear_additive_sinusoidal,0.0407,0.0275,8,0.0184,0.0407 ± 0.0184
PhonemeSpectra,linear_additive_split_sinusoidal,0.0316,0.0206,8,0.0138,0.0316 ± 0.0138
PhonemeSpectra,linear_circular_conv_sinusoidal,0.0684,0.0039,8,0.0026,0.0684 ± 0.0026
PhonemeSpectra,linear_component_wise_sinusoidal,0.0704,0.0047,8,0.0031,0.0704 ± 0.0031
PhonemeSpectra,linear_component_wise_split_sinusoidal,0.0707,0.0025,8,0.0017,0.0707 ± 0.0017
RacketSports,1d_conv_additive_sinusoidal,0.2327,0.0445,8,0.0298,0.2327 ± 0.0298
RacketSports,1d_conv_circular_conv_sinusoidal,0.8380,0.0149,8,0.0100,0.8380 ± 0.0100
RacketSports,1d_conv_circular_conv_split_sinusoidal,0.7705,0.1723,8,0.1154,0.7705 ± 0.1154
RacketSports,1d_conv_component_wise_sinusoidal,0.8322,0.0153,8,0.0103,0.8322 ± 0.0103
RacketSports,linear_additive_sinusoidal,0.5132,0.2422,8,0.1622,0.5132 ± 0.1622
RacketSports,linear_additive_split_sinusoidal,0.6760,0.1897,8,0.1271,0.6760 ± 0.1271
RacketSports,linear_circular_conv_sinusoidal,0.8438,0.0216,8,0.0145,0.8438 ± 0.0145
RacketSports,linear_component_wise_sinusoidal,0.8446,0.0219,8,0.0147,0.8446 ± 0.0147
RacketSports,linear_component_wise_split_sinusoidal,0.8380,0.0172,8,0.0115,0.8380 ± 0.0115
SelfRegulationSCP1,1d_conv_additive_sinusoidal,0.6754,0.0911,8,0.0610,0.6754 ± 0.0610
SelfRegulationSCP1,1d_conv_circular_conv_sinusoidal,0.8097,0.0188,8,0.0126,0.8097 ± 0.0126
SelfRegulationSCP1,1d_conv_circular_conv_split_sinusoidal,0.8102,0.0322,8,0.0216,0.8102 ± 0.0216
SelfRegulationSCP1,1d_conv_component_wise_sinusoidal,0.7986,0.0271,8,0.0181,0.7986 ± 0.0181
SelfRegulationSCP1,linear_additive_sinusoidal,0.8033,0.0531,8,0.0356,0.8033 ± 0.0356
SelfRegulationSCP1,linear_additive_split_sinusoidal,0.7782,0.0597,8,0.0400,0.7782 ± 0.0400
SelfRegulationSCP1,linear_circular_conv_sinusoidal,0.7935,0.0476,8,0.0319,0.7935 ± 0.0319
SelfRegulationSCP1,linear_component_wise_sinusoidal,0.7794,0.0252,8,0.0169,0.7794 ± 0.0169
SelfRegulationSCP1,linear_component_wise_split_sinusoidal,0.7811,0.0397,8,0.0266,0.7811 ± 0.0266
SelfRegulationSCP2,1d_conv_additive_sinusoidal,0.5167,0.0291,8,0.0195,0.5167 ± 0.0195
SelfRegulationSCP2,1d_conv_circular_conv_sinusoidal,0.5264,0.0280,8,0.0187,0.5264 ± 0.0187
SelfRegulationSCP2,1d_conv_circular_conv_split_sinusoidal,0.5346,0.0186,9,0.0115,0.5346 ± 0.0115
SelfRegulationSCP2,1d_conv_component_wise_sinusoidal,0.5278,0.0126,8,0.0084,0.5278 ± 0.0084
SelfRegulationSCP2,linear_additive_sinusoidal,0.5327,0.0109,8,0.0073,0.5327 ± 0.0073
SelfRegulationSCP2,linear_additive_split_sinusoidal,0.5424,0.0094,8,0.0063,0.5424 ± 0.0063
SelfRegulationSCP2,linear_circular_conv_sinusoidal,0.5188,0.0188,8,0.0126,0.5188 ± 0.0126
SelfRegulationSCP2,linear_component_wise_sinusoidal,0.5179,0.0188,9,0.0117,0.5179 ± 0.0117
SelfRegulationSCP2,linear_component_wise_split_sinusoidal,0.5306,0.0165,8,0.0111,0.5306 ± 0.0111
SpokenArabicDigits,1d_conv_additive_sinusoidal,0.3115,0.3917,8,0.2624,0.3115 ± 0.2624
SpokenArabicDigits,1d_conv_circular_conv_sinusoidal,0.9761,0.0042,8,0.0028,0.9761 ± 0.0028
SpokenArabicDigits,1d_conv_circular_conv_split_sinusoidal,0.9699,0.0059,8,0.0040,0.9699 ± 0.0040
SpokenArabicDigits,1d_conv_component_wise_sinusoidal,0.9762,0.0049,8,0.0033,0.9762 ± 0.0033
SpokenArabicDigits,linear_additive_sinusoidal,0.8346,0.3050,8,0.2043,0.8346 ± 0.2043
SpokenArabicDigits,linear_additive_split_sinusoidal,0.9436,0.0054,8,0.0036,0.9436 ± 0.0036
SpokenArabicDigits,linear_circular_conv_sinusoidal,0.9724,0.0047,8,0.0032,0.9724 ± 0.0032
SpokenArabicDigits,linear_component_wise_sinusoidal,0.9806,0.0016,8,0.0011,0.9806 ± 0.0011
SpokenArabicDigits,linear_component_wise_split_sinusoidal,0.9762,0.0058,8,0.0039,0.9762 ± 0.0039
StandWalkJump,1d_conv_additive_sinusoidal,0.3750,0.0496,8,0.0332,0.3750 ± 0.0332
StandWalkJump,1d_conv_circular_conv_sinusoidal,0.2889,0.0577,9,0.0358,0.2889 ± 0.0358
StandWalkJump,1d_conv_circular_conv_split_sinusoidal,0.3556,0.0745,9,0.0462,0.3556 ± 0.0462
StandWalkJump,1d_conv_component_wise_sinusoidal,0.2963,0.0588,9,0.0364,0.2963 ± 0.0364
StandWalkJump,linear_additive_sinusoidal,0.4000,0.1054,9,0.0653,0.4000 ± 0.0653
StandWalkJump,linear_additive_split_sinusoidal,0.3185,0.0801,9,0.0497,0.3185 ± 0.0497
StandWalkJump,linear_circular_conv_sinusoidal,0.3167,0.0690,8,0.0462,0.3167 ± 0.0462
StandWalkJump,linear_component_wise_sinusoidal,0.3400,0.0492,10,0.0285,0.3400 ± 0.0285
StandWalkJump,linear_component_wise_split_sinusoidal,0.3111,0.0882,9,0.0547,0.3111 ± 0.0547
UWaveGestureLibraryAll,1d_conv_additive_sinusoidal,0.2281,0.1635,8,0.1095,0.2281 ± 0.1095
UWaveGestureLibraryAll,1d_conv_circular_conv_sinusoidal,0.8858,0.0086,8,0.0058,0.8858 ± 0.0058
UWaveGestureLibraryAll,1d_conv_circular_conv_split_sinusoidal,0.8884,0.0103,8,0.0069,0.8884 ± 0.0069
UWaveGestureLibraryAll,1d_conv_component_wise_sinusoidal,0.8850,0.0093,8,0.0062,0.8850 ± 0.0062
UWaveGestureLibraryAll,linear_additive_sinusoidal,0.8814,0.0145,8,0.0097,0.8814 ± 0.0097
UWaveGestureLibraryAll,linear_additive_split_sinusoidal,0.8897,0.0079,8,0.0053,0.8897 ± 0.0053
UWaveGestureLibraryAll,linear_circular_conv_sinusoidal,0.8883,0.0136,9,0.0084,0.8883 ± 0.0084
UWaveGestureLibraryAll,linear_component_wise_sinusoidal,0.8805,0.0136,8,0.0091,0.8805 ± 0.0091
UWaveGestureLibraryAll,linear_component_wise_split_sinusoidal,0.8818,0.0085,8,0.0057,0.8818 ± 0.0057
