dataset,model,mean_acc,std_acc,num_runs_filtered,margin_of_error,confidence_interval
Epilepsy,linear_conv_adaptive_sin_pe,0.8378,0.0122,8,0.0102,0.8378 ± 0.0102
Epilepsy,linear_conv_sinusoidal,0.8442,0.0189,8,0.0158,0.8442 ± 0.0158
Epilepsy,linear_mla,0.8645,0.0108,10,0.0078,0.8645 ± 0.0078
Epilepsy,linear_rope,0.8524,0.0215,8,0.0180,0.8524 ± 0.0180
EthanolConcentration,convtran,0.3046,0.0167,9,0.0129,0.3046 ± 0.0129
EthanolConcentration,linear_conv_adaptive_sin_pe,0.2467,0.0133,8,0.0111,0.2467 ± 0.0111
EthanolConcentration,linear_conv_sinusoidal,0.2557,0.0101,8,0.0085,0.2557 ± 0.0085
EthanolConcentration,linear_mla,0.2610,0.0152,8,0.0127,0.2610 ± 0.0127
EthanolConcentration,linear_rope,0.2567,0.0233,8,0.0195,0.2567 ± 0.0195
FaceDetection,convtran,0.5186,0.0168,8,0.0140,0.5186 ± 0.0140
FaceDetection,linear_conv_adaptive_sin_pe,0.6744,0.0058,8,0.0049,0.6744 ± 0.0049
FaceDetection,linear_conv_sinusoidal,0.6629,0.0057,9,0.0044,0.6629 ± 0.0044
FaceDetection,linear_mla,0.6068,0.0049,8,0.0041,0.6068 ± 0.0041
FaceDetection,linear_rope,0.5516,0.0101,8,0.0085,0.5516 ± 0.0085
FingerMovements,convtran,0.4725,0.0255,8,0.0213,0.4725 ± 0.0213
FingerMovements,linear_conv_adaptive_sin_pe,0.5062,0.0407,8,0.0340,0.5062 ± 0.0340
FingerMovements,linear_conv_sinusoidal,0.4738,0.0277,8,0.0232,0.4738 ± 0.0232
FingerMovements,linear_mla,0.5162,0.0267,8,0.0223,0.5162 ± 0.0223
FingerMovements,linear_rope,0.4812,0.0309,8,0.0258,0.4812 ± 0.0258
HandMovementDirection,convtran,0.3007,0.0604,8,0.0505,0.3007 ± 0.0505
HandMovementDirection,linear_conv_adaptive_sin_pe,0.5152,0.0430,8,0.0360,0.5152 ± 0.0360
HandMovementDirection,linear_conv_sinusoidal,0.5000,0.0561,9,0.0432,0.5000 ± 0.0432
HandMovementDirection,linear_mla,0.3453,0.0777,9,0.0597,0.3453 ± 0.0597
HandMovementDirection,linear_rope,0.2855,0.0342,8,0.0286,0.2855 ± 0.0286
Handwriting,convtran,0.2335,0.0326,9,0.0251,0.2335 ± 0.0251
Handwriting,linear_conv_adaptive_sin_pe,0.1563,0.0243,8,0.0203,0.1563 ± 0.0203
Handwriting,linear_conv_sinusoidal,0.1472,0.0176,8,0.0147,0.1472 ± 0.0147
Handwriting,linear_mla,0.1102,0.0039,8,0.0033,0.1102 ± 0.0033
Handwriting,linear_rope,0.0991,0.0172,8,0.0144,0.0991 ± 0.0144
Heartbeat,convtran,0.6092,0.1346,9,0.1035,0.6092 ± 0.1035
Heartbeat,linear_conv_adaptive_sin_pe,0.7512,0.0074,8,0.0062,0.7512 ± 0.0062
Heartbeat,linear_conv_sinusoidal,0.7451,0.0085,8,0.0071,0.7451 ± 0.0071
Heartbeat,linear_mla,0.7451,0.0068,8,0.0057,0.7451 ± 0.0057
Heartbeat,linear_rope,0.7396,0.0200,8,0.0167,0.7396 ± 0.0167
InsectWingbeat,convtran,0.2320,0.0592,8,0.0495,0.2320 ± 0.0495
InsectWingbeat,linear_conv_adaptive_sin_pe,0.6115,0.0030,8,0.0025,0.6115 ± 0.0025
InsectWingbeat,linear_conv_sinusoidal,0.6021,0.0043,8,0.0036,0.6021 ± 0.0036
InsectWingbeat,linear_mla,0.6278,0.0024,8,0.0020,0.6278 ± 0.0020
InsectWingbeat,linear_rope,0.5942,0.0026,8,0.0022,0.5942 ± 0.0022
LSST,convtran,0.0466,0.0292,8,0.0244,0.0466 ± 0.0244
LSST,linear_conv_adaptive_sin_pe,0.5830,0.0135,8,0.0113,0.5830 ± 0.0113
LSST,linear_conv_sinusoidal,0.5444,0.0105,8,0.0088,0.5444 ± 0.0088
LSST,linear_mla,0.6062,0.0060,8,0.0050,0.6062 ± 0.0050
LSST,linear_rope,0.6095,0.0058,8,0.0049,0.6095 ± 0.0049
Libras,convtran,0.7979,0.0295,8,0.0247,0.7979 ± 0.0247
Libras,linear_conv_adaptive_sin_pe,0.6298,0.0196,8,0.0164,0.6298 ± 0.0164
Libras,linear_conv_sinusoidal,0.6167,0.0247,9,0.0190,0.6167 ± 0.0190
Libras,linear_mla,0.5333,0.1646,8,0.1376,0.5333 ± 0.1376
Libras,linear_rope,0.6146,0.0192,8,0.0161,0.6146 ± 0.0161
MotorImagery,convtran,0.5262,0.0277,8,0.0232,0.5262 ± 0.0232
MotorImagery,linear_conv_adaptive_sin_pe,0.5100,0.0464,9,0.0356,0.5100 ± 0.0356
MotorImagery,linear_conv_sinusoidal,0.4867,0.0555,9,0.0426,0.4867 ± 0.0426
MotorImagery,linear_mla,0.4778,0.0286,9,0.0220,0.4778 ± 0.0220
MotorImagery,linear_rope,0.4678,0.0192,9,0.0148,0.4678 ± 0.0148
NATOPS,convtran,0.8618,0.0229,8,0.0191,0.8618 ± 0.0191
NATOPS,linear_conv_adaptive_sin_pe,0.8611,0.0451,8,0.0377,0.8611 ± 0.0377
NATOPS,linear_conv_sinusoidal,0.8639,0.0332,8,0.0277,0.8639 ± 0.0277
NATOPS,linear_mla,0.8930,0.0199,8,0.0166,0.8930 ± 0.0166
NATOPS,linear_rope,0.8688,0.0340,8,0.0284,0.8688 ± 0.0284
PEMS-SF,convtran,0.6611,0.0262,8,0.0219,0.6611 ± 0.0219
PEMS-SF,linear_conv_adaptive_sin_pe,0.7167,0.0286,9,0.0220,0.7167 ± 0.0220
PEMS-SF,linear_conv_sinusoidal,0.7218,0.0277,8,0.0231,0.7218 ± 0.0231
PEMS-SF,linear_mla,0.7103,0.0199,8,0.0166,0.7103 ± 0.0166
PEMS-SF,linear_rope,0.7066,0.0286,8,0.0239,0.7066 ± 0.0239
PenDigits,convtran,0.9825,0.0017,8,0.0015,0.9825 ± 0.0015
PenDigits,linear_conv_adaptive_sin_pe,0.9619,0.0017,8,0.0015,0.9619 ± 0.0015
PenDigits,linear_conv_sinusoidal,0.9409,0.0037,8,0.0031,0.9409 ± 0.0031
PenDigits,linear_mla,0.9428,0.0043,8,0.0036,0.9428 ± 0.0036
PenDigits,linear_rope,0.9004,0.0059,8,0.0049,0.9004 ± 0.0049
PhonemeSpectra,convtran,0.2535,0.0102,8,0.0086,0.2535 ± 0.0086
PhonemeSpectra,linear_conv_adaptive_sin_pe,0.0662,0.0022,8,0.0019,0.0662 ± 0.0019
PhonemeSpectra,linear_conv_sinusoidal,0.0677,0.0042,9,0.0032,0.0677 ± 0.0032
PhonemeSpectra,linear_mla,0.0674,0.0047,8,0.0039,0.0674 ± 0.0039
PhonemeSpectra,linear_rope,0.0895,0.0084,9,0.0064,0.0895 ± 0.0064
RacketSports,convtran,0.7866,0.0242,9,0.0186,0.7866 ± 0.0186
RacketSports,linear_conv_adaptive_sin_pe,0.8544,0.0114,8,0.0095,0.8544 ± 0.0095
RacketSports,linear_conv_sinusoidal,0.8472,0.0188,9,0.0145,0.8472 ± 0.0145
RacketSports,linear_mla,0.8273,0.0179,8,0.0149,0.8273 ± 0.0149
RacketSports,linear_rope,0.8306,0.0152,8,0.0127,0.8306 ± 0.0127
SelfRegulationSCP1,convtran,0.8481,0.0211,8,0.0176,0.8481 ± 0.0176
SelfRegulationSCP1,linear_conv_adaptive_sin_pe,0.8157,0.0158,8,0.0132,0.8157 ± 0.0132
SelfRegulationSCP1,linear_conv_sinusoidal,0.8191,0.0148,8,0.0124,0.8191 ± 0.0124
SelfRegulationSCP1,linear_mla,0.7624,0.0324,8,0.0271,0.7624 ± 0.0271
SelfRegulationSCP1,linear_rope,0.7786,0.0373,8,0.0312,0.7786 ± 0.0312
SelfRegulationSCP2,convtran,0.5264,0.0222,8,0.0185,0.5264 ± 0.0185
SelfRegulationSCP2,linear_conv_adaptive_sin_pe,0.5432,0.0138,9,0.0106,0.5432 ± 0.0106
SelfRegulationSCP2,linear_conv_sinusoidal,0.5507,0.0121,8,0.0101,0.5507 ± 0.0101
SelfRegulationSCP2,linear_mla,0.5278,0.0136,8,0.0114,0.5278 ± 0.0114
SelfRegulationSCP2,linear_rope,0.5403,0.0097,8,0.0081,0.5403 ± 0.0081
SpokenArabicDigits,convtran,0.9610,0.0043,8,0.0036,0.9610 ± 0.0036
SpokenArabicDigits,linear_conv_adaptive_sin_pe,0.9782,0.0034,8,0.0028,0.9782 ± 0.0028
SpokenArabicDigits,linear_conv_sinusoidal,0.9699,0.0046,8,0.0039,0.9699 ± 0.0039
SpokenArabicDigits,linear_mla,0.9629,0.0044,8,0.0037,0.9629 ± 0.0037
SpokenArabicDigits,linear_rope,0.9645,0.0040,8,0.0034,0.9645 ± 0.0034
StandWalkJump,convtran,0.3667,0.0720,10,0.0515,0.3667 ± 0.0515
StandWalkJump,linear_conv_adaptive_sin_pe,0.3333,0.0471,9,0.0362,0.3333 ± 0.0362
StandWalkJump,linear_conv_sinusoidal,0.3200,0.0526,10,0.0376,0.3200 ± 0.0376
StandWalkJump,linear_mla,0.3083,0.0345,8,0.0288,0.3083 ± 0.0288
StandWalkJump,linear_rope,0.2834,0.0591,8,0.0494,0.2834 ± 0.0494
UWaveGestureLibraryAll,convtran,0.9548,0.0041,8,0.0034,0.9548 ± 0.0034
UWaveGestureLibraryAll,linear_conv_adaptive_sin_pe,0.8910,0.0062,8,0.0052,0.8910 ± 0.0052
UWaveGestureLibraryAll,linear_conv_sinusoidal,0.8896,0.0044,8,0.0037,0.8896 ± 0.0037
UWaveGestureLibraryAll,linear_mla,0.8138,0.0139,8,0.0116,0.8138 ± 0.0116
UWaveGestureLibraryAll,linear_rope,0.8596,0.0115,8,0.0096,0.8596 ± 0.0096
