dataset,train_samples,sequence_length,num_classes,linear_additive_N_L_1,linear_additive_N_L_2,linear_additive_N_L_4,linear_additive_N_L_8,linear_circular_conv_N_L_1,linear_circular_conv_N_L_2,linear_circular_conv_N_L_4,linear_circular_conv_N_L_8,linear_component_wise_N_L_1,linear_component_wise_N_L_2,linear_component_wise_N_L_4,linear_component_wise_N_L_8
Libras,144,45,15,0.7180 ± 0.0107,0.4395 ± 0.0284,0.4271 ± 0.0236,0.3201 ± 0.0598,0.6410 ± 0.0246,0.6319 ± 0.0269,0.6452 ± 0.0235,0.4514 ± 0.0743,0.6548 ± 0.0274,0.6197 ± 0.0209,0.6099 ± 0.0592,0.4868 ± 0.0556
MotorImagery,222,3000,2,0.4800 ± 0.0300,0.4925 ± 0.0306,0.4838 ± 0.0343,0.4856 ± 0.0207,0.5175 ± 0.0371,0.5050 ± 0.0264,0.4862 ± 0.0209,0.4456 ± 0.0337,0.4962 ± 0.0264,0.5200 ± 0.0397,0.4862 ± 0.0178,0.4800 ± 0.0303
NATOPS,144,51,6,0.4306 ± 0.2498,0.7722 ± 0.0276,0.6986 ± 0.0295,0.5472 ± 0.0601,0.8764 ± 0.0245,0.8410 ± 0.0261,0.7833 ± 0.0434,0.7302 ± 0.0501,0.6979 ± 0.2739,0.8576 ± 0.0348,0.8326 ± 0.0224,0.7062 ± 0.0518
PEMS-SF,213,144,7,0.1358 ± 0.0361,0.6055 ± 0.0186,0.6062 ± 0.0277,0.4367 ± 0.0688,0.7269 ± 0.0216,0.7341 ± 0.0259,0.7553 ± 0.0254,0.4387 ± 0.1413,0.7384 ± 0.0081,0.7262 ± 0.0271,0.7669 ± 0.0274,0.5043 ± 0.1278
PenDigits,5995,8,10,0.9724 ± 0.0021,0.8929 ± 0.0122,0.9021 ± 0.0149,0.8918 ± 0.0103,0.9448 ± 0.0037,0.9431 ± 0.0024,0.9486 ± 0.0036,0.9456 ± 0.0071,0.9574 ± 0.0036,0.9588 ± 0.0026,0.9623 ± 0.0027,0.9575 ± 0.0026
PhonemeSpectra,2652,217,39,0.0503 ± 0.0207,0.0573 ± 0.0019,0.0557 ± 0.0020,0.0575 ± 0.0018,0.0659 ± 0.0049,0.0681 ± 0.0031,0.0684 ± 0.0029,0.0576 ± 0.0026,0.0682 ± 0.0032,0.0706 ± 0.0035,0.0696 ± 0.0025,0.0635 ± 0.0039
RacketSports,120,30,4,0.5271 ± 0.2119,0.8076 ± 0.0146,0.7870 ± 0.0102,0.6900 ± 0.0530,0.8314 ± 0.0176,0.8260 ± 0.0156,0.8405 ± 0.0137,0.6901 ± 0.0489,0.8322 ± 0.0135,0.8462 ± 0.0186,0.8339 ± 0.0252,0.7549 ± 0.0378
SelfRegulationSCP1,214,896,2,0.7457 ± 0.0261,0.7321 ± 0.0096,0.7478 ± 0.0454,0.7722 ± 0.0258,0.8238 ± 0.0250,0.7999 ± 0.0214,0.8004 ± 0.0187,0.6989 ± 0.0967,0.7406 ± 0.0833,0.8102 ± 0.0249,0.8106 ± 0.0212,0.7632 ± 0.0256
SelfRegulationSCP2,160,1152,2,0.5306 ± 0.0111,0.5403 ± 0.0185,0.5396 ± 0.0110,0.5080 ± 0.0096,0.5403 ± 0.0170,0.5417 ± 0.0111,0.5222 ± 0.0186,0.5139 ± 0.0202,0.5284 ± 0.0284,0.5431 ± 0.0116,0.5243 ± 0.0167,0.5358 ± 0.0091
SpokenArabicDigits,5279,93,10,0.9289 ± 0.0060,0.9521 ± 0.0050,0.9519 ± 0.0068,0.9342 ± 0.0067,0.9702 ± 0.0033,0.9759 ± 0.0038,0.9720 ± 0.0027,0.9645 ± 0.0037,0.9733 ± 0.0069,0.9817 ± 0.0020,0.9756 ± 0.0058,0.9679 ± 0.0073
StandWalkJump,9,2500,3,0.3852 ± 0.0616,0.3334 ± 0.0516,0.3259 ± 0.0400,0.3250 ± 0.0357,0.3200 ± 0.0704,0.2741 ± 0.0400,0.3267 ± 0.0352,0.3111 ± 0.0256,0.3037 ± 0.0452,0.2963 ± 0.0683,0.2834 ± 0.0394,0.3167 ± 0.0394
UWaveGestureLibraryAll,716,945,8,0.9025 ± 0.0042,0.5320 ± 0.1508,0.1479 ± 0.0084,0.1270 ± 0.0070,0.8882 ± 0.0022,0.8959 ± 0.0066,0.8842 ± 0.0082,0.8340 ± 0.0214,0.8827 ± 0.0044,0.8982 ± 0.0042,0.8948 ± 0.0065,0.7418 ± 0.1164
Average Test Accuracy,1627,540,9,0.5147,0.5835,0.5635,0.507,0.6319,0.6327,0.6261,0.5412,0.6008,0.6343,0.6284,0.559
