dataset,model,train_samples,sequence_length,num_classes,mean_acc,std_acc,num_runs_filtered,margin_of_error,confidence_interval
FingerMovements,convtran,252,50,2,0.4730,0.0343,10,0.0246,0.4730 ± 0.0246
FingerMovements,linear_conv_adaptive_sin_pe,252,50,2,0.5030,0.0492,10,0.0352,0.5030 ± 0.0352
FingerMovements,linear_conv_sinusoidal,252,50,2,0.4738,0.0277,8,0.0232,0.4738 ± 0.0232
FingerMovements,linear_mla,252,50,2,0.5150,0.0369,10,0.0264,0.5150 ± 0.0264
FingerMovements,linear_rope,252,50,2,0.4790,0.0363,10,0.0260,0.4790 ± 0.0260
HandMovementDirection,convtran,128,400,4,0.3027,0.0696,10,0.0498,0.3027 ± 0.0498
HandMovementDirection,linear_conv_adaptive_sin_pe,128,400,4,0.5149,0.0539,10,0.0385,0.5149 ± 0.0385
HandMovementDirection,linear_conv_sinusoidal,128,400,4,0.5108,0.0630,10,0.0451,0.5108 ± 0.0451
HandMovementDirection,linear_mla,128,400,4,0.3324,0.0838,10,0.0600,0.3324 ± 0.0600
HandMovementDirection,linear_rope,128,400,4,0.2892,0.0518,10,0.0371,0.2892 ± 0.0371
Handwriting,convtran,120,152,26,0.2288,0.0341,10,0.0244,0.2288 ± 0.0244
Handwriting,linear_conv_adaptive_sin_pe,120,152,26,0.1529,0.0299,10,0.0214,0.1529 ± 0.0214
Handwriting,linear_conv_sinusoidal,120,152,26,0.1492,0.0250,10,0.0179,0.1492 ± 0.0179
Handwriting,linear_mla,120,152,26,0.1102,0.0039,8,0.0033,0.1102 ± 0.0033
Handwriting,linear_rope,120,152,26,0.0961,0.0265,10,0.0189,0.0961 ± 0.0189
Heartbeat,convtran,163,405,2,0.5795,0.1579,10,0.1129,0.5795 ± 0.1129
Heartbeat,linear_conv_adaptive_sin_pe,163,405,2,0.7512,0.0095,10,0.0068,0.7512 ± 0.0068
Heartbeat,linear_conv_sinusoidal,163,405,2,0.7451,0.0085,8,0.0071,0.7451 ± 0.0071
Heartbeat,linear_mla,163,405,2,0.7469,0.0082,9,0.0063,0.7469 ± 0.0063
Heartbeat,linear_rope,163,405,2,0.7356,0.0294,10,0.0210,0.7356 ± 0.0210
InsectWingbeat,convtran,20000,22,10,0.2381,0.0809,10,0.0579,0.2381 ± 0.0579
InsectWingbeat,linear_conv_adaptive_sin_pe,20000,22,10,0.6123,0.0047,10,0.0034,0.6123 ± 0.0034
InsectWingbeat,linear_conv_sinusoidal,20000,22,10,0.6034,0.0057,9,0.0044,0.6034 ± 0.0044
InsectWingbeat,linear_mla,20000,22,10,0.6281,0.0032,10,0.0023,0.6281 ± 0.0023
InsectWingbeat,linear_rope,20000,22,10,0.5947,0.0028,9,0.0021,0.5947 ± 0.0021
LSST,convtran,1967,36,14,0.0524,0.0449,10,0.0321,0.0524 ± 0.0321
LSST,linear_conv_adaptive_sin_pe,1967,36,14,0.5820,0.0158,10,0.0113,0.5820 ± 0.0113
LSST,linear_conv_sinusoidal,1967,36,14,0.5438,0.0135,10,0.0097,0.5438 ± 0.0097
LSST,linear_mla,1967,36,14,0.6052,0.0065,9,0.0050,0.6052 ± 0.0050
LSST,linear_rope,1967,36,14,0.6103,0.0074,10,0.0053,0.6103 ± 0.0053
Libras,convtran,144,45,15,0.7983,0.0369,10,0.0264,0.7983 ± 0.0264
Libras,linear_conv_adaptive_sin_pe,144,45,15,0.6278,0.0247,10,0.0177,0.6278 ± 0.0177
Libras,linear_conv_sinusoidal,144,45,15,0.6167,0.0247,9,0.0190,0.6167 ± 0.0190
Libras,linear_mla,144,45,15,0.5089,0.1924,10,0.1376,0.5089 ± 0.1376
Libras,linear_rope,144,45,15,0.6199,0.0131,7,0.0122,0.6199 ± 0.0122
MotorImagery,convtran,222,3000,2,0.5310,0.0387,10,0.0277,0.5310 ± 0.0277
MotorImagery,linear_conv_adaptive_sin_pe,222,3000,2,0.5030,0.0490,10,0.0351,0.5030 ± 0.0351
MotorImagery,linear_conv_sinusoidal,222,3000,2,0.4970,0.0617,10,0.0441,0.4970 ± 0.0441
MotorImagery,linear_mla,222,3000,2,0.4778,0.0286,9,0.0220,0.4778 ± 0.0220
MotorImagery,linear_rope,222,3000,2,0.4678,0.0192,9,0.0148,0.4678 ± 0.0148
NATOPS,convtran,144,51,6,0.8667,0.0259,9,0.0199,0.8667 ± 0.0199
NATOPS,linear_conv_adaptive_sin_pe,144,51,6,0.8561,0.0560,10,0.0401,0.8561 ± 0.0401
NATOPS,linear_conv_sinusoidal,144,51,6,0.8600,0.0401,10,0.0287,0.8600 ± 0.0287
NATOPS,linear_mla,144,51,6,0.8917,0.0285,10,0.0204,0.8917 ± 0.0204
NATOPS,linear_rope,144,51,6,0.8678,0.0407,10,0.0291,0.8678 ± 0.0291
PEMS-SF,convtran,213,144,7,0.6595,0.0339,10,0.0242,0.6595 ± 0.0242
PEMS-SF,linear_conv_adaptive_sin_pe,213,144,7,0.7208,0.0298,10,0.0213,0.7208 ± 0.0213
PEMS-SF,linear_conv_sinusoidal,213,144,7,0.7208,0.0347,10,0.0248,0.7208 ± 0.0248
PEMS-SF,linear_mla,213,144,7,0.7087,0.0271,10,0.0194,0.7087 ± 0.0194
PEMS-SF,linear_rope,213,144,7,0.7046,0.0364,10,0.0260,0.7046 ± 0.0260
PenDigits,convtran,5995,8,10,0.9824,0.0021,10,0.0015,0.9824 ± 0.0015
PenDigits,linear_conv_adaptive_sin_pe,5995,8,10,0.9617,0.0026,10,0.0018,0.9617 ± 0.0018
PenDigits,linear_conv_sinusoidal,5995,8,10,0.9405,0.0056,10,0.0040,0.9405 ± 0.0040
PenDigits,linear_mla,5995,8,10,0.9429,0.0051,10,0.0036,0.9429 ± 0.0036
PenDigits,linear_rope,5995,8,10,0.9024,0.0016,7,0.0015,0.9024 ± 0.0015
PhonemeSpectra,convtran,2652,217,39,0.2543,0.0137,10,0.0098,0.2543 ± 0.0098
PhonemeSpectra,linear_conv_adaptive_sin_pe,2652,217,39,0.0658,0.0025,9,0.0019,0.0658 ± 0.0019
PhonemeSpectra,linear_conv_sinusoidal,2652,217,39,0.0667,0.0050,10,0.0036,0.0667 ± 0.0036
PhonemeSpectra,linear_mla,2652,217,39,0.0670,0.0055,10,0.0039,0.0670 ± 0.0039
PhonemeSpectra,linear_rope,2652,217,39,0.0884,0.0086,10,0.0061,0.0884 ± 0.0061
RacketSports,convtran,120,30,4,0.7803,0.0303,10,0.0216,0.7803 ± 0.0216
RacketSports,linear_conv_adaptive_sin_pe,120,30,4,0.8533,0.0186,10,0.0133,0.8533 ± 0.0133
RacketSports,linear_conv_sinusoidal,120,30,4,0.8472,0.0188,9,0.0145,0.8472 ± 0.0145
RacketSports,linear_mla,120,30,4,0.8276,0.0268,10,0.0192,0.8276 ± 0.0192
RacketSports,linear_rope,120,30,4,0.8303,0.0229,10,0.0164,0.8303 ± 0.0164
SelfRegulationSCP1,convtran,214,896,2,0.8513,0.0220,9,0.0169,0.8513 ± 0.0169
SelfRegulationSCP1,linear_conv_adaptive_sin_pe,214,896,2,0.8157,0.0158,8,0.0132,0.8157 ± 0.0132
SelfRegulationSCP1,linear_conv_sinusoidal,214,896,2,0.8181,0.0215,10,0.0154,0.8181 ± 0.0154
SelfRegulationSCP1,linear_mla,214,896,2,0.7694,0.0370,9,0.0284,0.7694 ± 0.0284
SelfRegulationSCP1,linear_rope,214,896,2,0.7778,0.0460,10,0.0329,0.7778 ± 0.0329
SelfRegulationSCP2,convtran,160,1152,2,0.5354,0.0119,8,0.0099,0.5354 ± 0.0099
SelfRegulationSCP2,linear_conv_adaptive_sin_pe,160,1152,2,0.5456,0.0150,10,0.0107,0.5456 ± 0.0107
SelfRegulationSCP2,linear_conv_sinusoidal,160,1152,2,0.5469,0.0160,9,0.0123,0.5469 ± 0.0123
SelfRegulationSCP2,linear_mla,160,1152,2,0.5303,0.0147,9,0.0113,0.5303 ± 0.0113
SelfRegulationSCP2,linear_rope,160,1152,2,0.5417,0.0149,10,0.0106,0.5417 ± 0.0106
SpokenArabicDigits,convtran,5279,93,10,0.9608,0.0051,10,0.0037,0.9608 ± 0.0037
SpokenArabicDigits,linear_conv_adaptive_sin_pe,5279,93,10,0.9784,0.0041,10,0.0029,0.9784 ± 0.0029
SpokenArabicDigits,linear_conv_sinusoidal,5279,93,10,0.9699,0.0065,10,0.0046,0.9699 ± 0.0046
SpokenArabicDigits,linear_mla,5279,93,10,0.9630,0.0059,10,0.0043,0.9630 ± 0.0043
SpokenArabicDigits,linear_rope,5279,93,10,0.9642,0.0048,10,0.0034,0.9642 ± 0.0034
StandWalkJump,convtran,9,2500,3,0.3667,0.0720,10,0.0515,0.3667 ± 0.0515
StandWalkJump,linear_conv_adaptive_sin_pe,9,2500,3,0.3333,0.0471,9,0.0362,0.3333 ± 0.0362
StandWalkJump,linear_conv_sinusoidal,9,2500,3,0.3200,0.0526,10,0.0376,0.3200 ± 0.0376
StandWalkJump,linear_mla,9,2500,3,0.3000,0.0471,10,0.0337,0.3000 ± 0.0337
StandWalkJump,linear_rope,9,2500,3,0.2667,0.0385,7,0.0356,0.2667 ± 0.0356
UWaveGestureLibraryAll,convtran,716,945,8,0.9550,0.0055,10,0.0039,0.9550 ± 0.0039
UWaveGestureLibraryAll,linear_conv_adaptive_sin_pe,716,945,8,0.8918,0.0091,10,0.0065,0.8918 ± 0.0065
UWaveGestureLibraryAll,linear_conv_sinusoidal,716,945,8,0.8907,0.0054,9,0.0041,0.8907 ± 0.0041
UWaveGestureLibraryAll,linear_mla,716,945,8,0.8158,0.0143,9,0.0110,0.8158 ± 0.0110
UWaveGestureLibraryAll,linear_rope,716,945,8,0.8607,0.0154,10,0.0110,0.8607 ± 0.0110
