dataset,model,confidence_interval,mean_test_acc,std,margin_of_error,num_runs,num_runs_total
NATOPS,linear_mla,0.8930 ± 0.0133,0.8930,0.0199,0.0133,8,10
NATOPS,linear_rope,0.8688 ± 0.0228,0.8688,0.0340,0.0228,8,10
PEMS-SF,convtran,0.6611 ± 0.0176,0.6611,0.0262,0.0176,8,10
PEMS-SF,linear_conv_adaptive_sin_pe,0.7167 ± 0.0177,0.7167,0.0286,0.0177,9,10
PEMS-SF,linear_mla,0.7103 ± 0.0133,0.7103,0.0199,0.0133,8,10
PEMS-SF,linear_rope,0.7066 ± 0.0191,0.7066,0.0286,0.0191,8,10
PenDigits,convtran,0.9825 ± 0.0012,0.9825,0.0017,0.0012,8,10
PenDigits,linear_conv_adaptive_sin_pe,0.9619 ± 0.0012,0.9619,0.0017,0.0012,8,10
PenDigits,linear_mla,0.9428 ± 0.0029,0.9428,0.0043,0.0029,8,10
PenDigits,linear_rope,0.9004 ± 0.0040,0.9004,0.0059,0.0040,8,10
PhonemeSpectra,convtran,0.2535 ± 0.0069,0.2535,0.0102,0.0069,8,10
PhonemeSpectra,linear_conv_adaptive_sin_pe,0.0662 ± 0.0015,0.0662,0.0022,0.0015,8,10
PhonemeSpectra,linear_mla,0.0674 ± 0.0031,0.0674,0.0047,0.0031,8,10
PhonemeSpectra,linear_rope,0.0895 ± 0.0052,0.0895,0.0084,0.0052,9,10
RacketSports,convtran,0.7866 ± 0.0150,0.7866,0.0242,0.0150,9,10
RacketSports,linear_conv_adaptive_sin_pe,0.8544 ± 0.0076,0.8544,0.0114,0.0076,8,10
RacketSports,linear_mla,0.8273 ± 0.0120,0.8273,0.0179,0.0120,8,10
RacketSports,linear_rope,0.8306 ± 0.0102,0.8306,0.0152,0.0102,8,10
SelfRegulationSCP1,convtran,0.8481 ± 0.0141,0.8481,0.0211,0.0141,8,10
SelfRegulationSCP1,linear_conv_adaptive_sin_pe,0.8157 ± 0.0106,0.8157,0.0158,0.0106,8,10
SelfRegulationSCP1,linear_mla,0.7624 ± 0.0217,0.7624,0.0324,0.0217,8,10
SelfRegulationSCP1,linear_rope,0.7786 ± 0.0250,0.7786,0.0373,0.0250,8,10
SelfRegulationSCP2,convtran,0.5264 ± 0.0148,0.5264,0.0222,0.0148,8,10
SelfRegulationSCP2,linear_conv_adaptive_sin_pe,0.5432 ± 0.0086,0.5432,0.0138,0.0086,9,10
SelfRegulationSCP2,linear_mla,0.5278 ± 0.0091,0.5278,0.0136,0.0091,8,10
SelfRegulationSCP2,linear_rope,0.5403 ± 0.0065,0.5403,0.0097,0.0065,8,10
SpokenArabicDigits,convtran,0.9610 ± 0.0029,0.9610,0.0043,0.0029,8,10
SpokenArabicDigits,linear_conv_adaptive_sin_pe,0.9782 ± 0.0023,0.9782,0.0034,0.0023,8,10
SpokenArabicDigits,linear_mla,0.9629 ± 0.0029,0.9629,0.0044,0.0029,8,10
SpokenArabicDigits,linear_rope,0.9645 ± 0.0027,0.9645,0.0040,0.0027,8,10
StandWalkJump,convtran,0.3667 ± 0.0417,0.3667,0.0720,0.0417,10,10
StandWalkJump,linear_conv_adaptive_sin_pe,0.3333 ± 0.0292,0.3333,0.0471,0.0292,9,10
StandWalkJump,linear_mla,0.3083 ± 0.0231,0.3083,0.0345,0.0231,8,10
StandWalkJump,linear_rope,0.2834 ± 0.0396,0.2834,0.0591,0.0396,8,10
UWaveGestureLibraryAll,convtran,0.9548 ± 0.0027,0.9548,0.0041,0.0027,8,10
UWaveGestureLibraryAll,linear_conv_adaptive_sin_pe,0.8910 ± 0.0041,0.8910,0.0062,0.0041,8,10
UWaveGestureLibraryAll,linear_mla,0.8138 ± 0.0093,0.8138,0.0139,0.0093,8,10
UWaveGestureLibraryAll,linear_rope,0.8596 ± 0.0077,0.8596,0.0115,0.0077,8,10
