dataset,model,confidence_interval,mean_test_acc,std,margin_of_error,num_runs,num_runs_total
EthanolConcentration,linear_mla,0.2624 ± 0.0000,0.2624,,0.0000,1,1
EthanolConcentration,linear_rope,0.2548 ± 0.0000,0.2548,,0.0000,1,1
FaceDetection,convtran,0.5899 ± 0.0000,0.5899,,0.0000,1,1
FaceDetection,linear_conv_adaptive_sin_pe,0.6672 ± 0.0000,0.6672,,0.0000,1,1
FaceDetection,linear_mla,0.6220 ± 0.0000,0.6220,,0.0000,1,1
FaceDetection,linear_rope,0.5534 ± 0.0000,0.5534,,0.0000,1,1
FingerMovements,convtran,0.4900 ± 0.0000,0.4900,,0.0000,1,1
FingerMovements,linear_conv_adaptive_sin_pe,0.4300 ± 0.0000,0.4300,,0.0000,1,1
FingerMovements,linear_mla,0.4400 ± 0.0000,0.4400,,0.0000,1,1
FingerMovements,linear_rope,0.5300 ± 0.0000,0.5300,,0.0000,1,1
HandMovementDirection,convtran,0.3514 ± 0.0000,0.3514,,0.0000,1,1
HandMovementDirection,linear_conv_adaptive_sin_pe,0.6351 ± 0.0000,0.6351,,0.0000,1,1
HandMovementDirection,linear_mla,0.3514 ± 0.0000,0.3514,,0.0000,1,1
HandMovementDirection,linear_rope,0.2703 ± 0.0000,0.2703,,0.0000,1,1
Handwriting,convtran,0.2306 ± 0.0000,0.2306,,0.0000,1,1
Handwriting,linear_conv_adaptive_sin_pe,0.1600 ± 0.0000,0.1600,,0.0000,1,1
Handwriting,linear_mla,0.0894 ± 0.0000,0.0894,,0.0000,1,1
Handwriting,linear_rope,0.1271 ± 0.0000,0.1271,,0.0000,1,1
Heartbeat,convtran,0.7170 ± 0.0000,0.7170,,0.0000,1,1
Heartbeat,linear_conv_adaptive_sin_pe,0.7366 ± 0.0000,0.7366,,0.0000,1,1
Heartbeat,linear_mla,0.7610 ± 0.0000,0.7610,,0.0000,1,1
Heartbeat,linear_rope,0.6975 ± 0.0000,0.6975,,0.0000,1,1
LSST,convtran,0.0126 ± 0.0000,0.0126,,0.0000,1,1
LSST,linear_conv_adaptive_sin_pe,0.5807 ± 0.0000,0.5807,,0.0000,1,1
LSST,linear_mla,0.6030 ± 0.0000,0.6030,,0.0000,1,1
LSST,linear_rope,0.6062 ± 0.0000,0.6062,,0.0000,1,1
Libras,convtran,0.7333 ± 0.0000,0.7333,,0.0000,1,1
Libras,linear_conv_adaptive_sin_pe,0.6222 ± 0.0000,0.6222,,0.0000,1,1
Libras,linear_mla,0.6334 ± 0.0000,0.6334,,0.0000,1,1
Libras,linear_rope,0.6333 ± 0.0000,0.6333,,0.0000,1,1
NATOPS,convtran,0.9111 ± 0.0000,0.9111,,0.0000,1,1
NATOPS,linear_conv_adaptive_sin_pe,0.8722 ± 0.0000,0.8722,,0.0000,1,1
NATOPS,linear_mla,0.8778 ± 0.0000,0.8778,,0.0000,1,1
NATOPS,linear_rope,0.8889 ± 0.0000,0.8889,,0.0000,1,1
PEMS-SF,linear_conv_adaptive_sin_pe,0.7861 ± 0.0000,0.7861,,0.0000,1,1
PEMS-SF,linear_mla,0.7110 ± 0.0000,0.7110,,0.0000,1,1
PEMS-SF,linear_rope,0.6821 ± 0.0000,0.6821,,0.0000,1,1
PenDigits,convtran,0.9737 ± 0.0000,0.9737,,0.0000,1,1
PenDigits,linear_conv_adaptive_sin_pe,0.9625 ± 0.0000,0.9625,,0.0000,1,1
PenDigits,linear_mla,0.9380 ± 0.0000,0.9380,,0.0000,1,1
PenDigits,linear_rope,0.8840 ± 0.0000,0.8840,,0.0000,1,1
PhonemeSpectra,convtran,0.2774 ± 0.0000,0.2774,,0.0000,1,1
PhonemeSpectra,linear_conv_adaptive_sin_pe,0.0719 ± 0.0000,0.0719,,0.0000,1,1
PhonemeSpectra,linear_mla,0.0501 ± 0.0000,0.0501,,0.0000,1,1
PhonemeSpectra,linear_rope,0.0898 ± 0.0000,0.0898,,0.0000,1,1
RacketSports,convtran,0.7434 ± 0.0000,0.7434,,0.0000,1,1
RacketSports,linear_conv_adaptive_sin_pe,0.8553 ± 0.0000,0.8553,,0.0000,1,1
RacketSports,linear_mla,0.8224 ± 0.0000,0.8224,,0.0000,1,1
RacketSports,linear_rope,0.7369 ± 0.0000,0.7369,,0.0000,1,1
SelfRegulationSCP1,convtran,0.8635 ± 0.0000,0.8635,,0.0000,1,1
SelfRegulationSCP1,linear_conv_adaptive_sin_pe,0.8499 ± 0.0000,0.8499,,0.0000,1,1
SelfRegulationSCP1,linear_mla,0.7884 ± 0.0000,0.7884,,0.0000,1,1
SelfRegulationSCP1,linear_rope,0.8020 ± 0.0000,0.8020,,0.0000,1,1
SelfRegulationSCP2,convtran,0.4667 ± 0.0000,0.4667,,0.0000,1,1
SelfRegulationSCP2,linear_conv_adaptive_sin_pe,0.5556 ± 0.0000,0.5556,,0.0000,1,1
SelfRegulationSCP2,linear_mla,0.5056 ± 0.0000,0.5056,,0.0000,1,1
SelfRegulationSCP2,linear_rope,0.5000 ± 0.0000,0.5000,,0.0000,1,1
SpokenArabicDigits,linear_conv_adaptive_sin_pe,0.9800 ± 0.0000,0.9800,,0.0000,1,1
SpokenArabicDigits,linear_mla,0.9631 ± 0.0000,0.9631,,0.0000,1,1
SpokenArabicDigits,linear_rope,0.9604 ± 0.0000,0.9604,,0.0000,1,1
StandWalkJump,convtran,0.3333 ± 0.0000,0.3333,,0.0000,1,1
StandWalkJump,linear_conv_adaptive_sin_pe,0.3333 ± 0.0000,0.3333,,0.0000,1,1
StandWalkJump,linear_mla,0.3333 ± 0.0000,0.3333,,0.0000,1,1
StandWalkJump,linear_rope,0.1333 ± 0.0000,0.1333,,0.0000,1,1
UWaveGestureLibraryAll,convtran,0.9523 ± 0.0000,0.9523,,0.0000,1,1
UWaveGestureLibraryAll,linear_conv_adaptive_sin_pe,0.8813 ± 0.0000,0.8813,,0.0000,1,1
UWaveGestureLibraryAll,linear_mla,0.8272 ± 0.0000,0.8272,,0.0000,1,1
UWaveGestureLibraryAll,linear_rope,0.8970 ± 0.0000,0.8970,,0.0000,1,1
