dataset,model,mean_acc,std_acc,num_runs_filtered,margin_of_error,confidence_interval
EthanolConcentration,linear_conv_adaptive_sin_pe,0.2467,0.0133,8,0.0089,0.2467 ± 0.0089
EthanolConcentration,linear_mla,0.2610,0.0152,8,0.0102,0.2610 ± 0.0102
EthanolConcentration,linear_rope,0.2567,0.0233,8,0.0156,0.2567 ± 0.0156
FaceDetection,convtran,0.5186,0.0168,8,0.0113,0.5186 ± 0.0113
FaceDetection,linear_conv_adaptive_sin_pe,0.6744,0.0058,8,0.0039,0.6744 ± 0.0039
FaceDetection,linear_mla,0.6068,0.0049,8,0.0033,0.6068 ± 0.0033
FaceDetection,linear_rope,0.5516,0.0101,8,0.0068,0.5516 ± 0.0068
FingerMovements,convtran,0.4725,0.0255,8,0.0171,0.4725 ± 0.0171
FingerMovements,linear_conv_adaptive_sin_pe,0.5062,0.0407,8,0.0273,0.5062 ± 0.0273
FingerMovements,linear_mla,0.5162,0.0267,8,0.0179,0.5162 ± 0.0179
FingerMovements,linear_rope,0.4812,0.0309,8,0.0207,0.4812 ± 0.0207
HandMovementDirection,convtran,0.3007,0.0604,8,0.0404,0.3007 ± 0.0404
HandMovementDirection,linear_conv_adaptive_sin_pe,0.5152,0.0430,8,0.0288,0.5152 ± 0.0288
HandMovementDirection,linear_mla,0.3453,0.0777,9,0.0481,0.3453 ± 0.0481
HandMovementDirection,linear_rope,0.2855,0.0342,8,0.0229,0.2855 ± 0.0229
Handwriting,convtran,0.2335,0.0326,9,0.0202,0.2335 ± 0.0202
Handwriting,linear_conv_adaptive_sin_pe,0.1563,0.0243,8,0.0162,0.1563 ± 0.0162
Handwriting,linear_mla,0.1102,0.0039,8,0.0026,0.1102 ± 0.0026
Handwriting,linear_rope,0.0991,0.0172,8,0.0115,0.0991 ± 0.0115
Heartbeat,convtran,0.6092,0.1346,9,0.0834,0.6092 ± 0.0834
Heartbeat,linear_conv_adaptive_sin_pe,0.7512,0.0074,8,0.0049,0.7512 ± 0.0049
Heartbeat,linear_mla,0.7451,0.0068,8,0.0045,0.7451 ± 0.0045
Heartbeat,linear_rope,0.7396,0.0200,8,0.0134,0.7396 ± 0.0134
InsectWingbeat,convtran,0.2320,0.0592,8,0.0396,0.2320 ± 0.0396
InsectWingbeat,linear_conv_adaptive_sin_pe,0.6115,0.0030,8,0.0020,0.6115 ± 0.0020
InsectWingbeat,linear_mla,0.6278,0.0024,8,0.0016,0.6278 ± 0.0016
InsectWingbeat,linear_rope,0.5942,0.0026,8,0.0017,0.5942 ± 0.0017
LSST,convtran,0.0466,0.0292,8,0.0196,0.0466 ± 0.0196
LSST,linear_conv_adaptive_sin_pe,0.5830,0.0135,8,0.0090,0.5830 ± 0.0090
LSST,linear_mla,0.6062,0.0060,8,0.0040,0.6062 ± 0.0040
LSST,linear_rope,0.6095,0.0058,8,0.0039,0.6095 ± 0.0039
Libras,convtran,0.7979,0.0295,8,0.0198,0.7979 ± 0.0198
Libras,linear_conv_adaptive_sin_pe,0.6298,0.0196,8,0.0132,0.6298 ± 0.0132
Libras,linear_mla,0.5333,0.1646,8,0.1103,0.5333 ± 0.1103
Libras,linear_rope,0.6146,0.0192,8,0.0129,0.6146 ± 0.0129
MotorImagery,convtran,0.5262,0.0277,8,0.0186,0.5262 ± 0.0186
MotorImagery,linear_conv_adaptive_sin_pe,0.5100,0.0464,9,0.0287,0.5100 ± 0.0287
MotorImagery,linear_mla,0.4778,0.0286,9,0.0177,0.4778 ± 0.0177
MotorImagery,linear_rope,0.4678,0.0192,9,0.0119,0.4678 ± 0.0119
NATOPS,convtran,0.8618,0.0229,8,0.0153,0.8618 ± 0.0153
NATOPS,linear_conv_adaptive_sin_pe,0.8611,0.0451,8,0.0302,0.8611 ± 0.0302
NATOPS,linear_mla,0.8930,0.0199,8,0.0133,0.8930 ± 0.0133
NATOPS,linear_rope,0.8688,0.0340,8,0.0228,0.8688 ± 0.0228
PEMS-SF,convtran,0.6611,0.0262,8,0.0176,0.6611 ± 0.0176
PEMS-SF,linear_conv_adaptive_sin_pe,0.7167,0.0286,9,0.0177,0.7167 ± 0.0177
PEMS-SF,linear_mla,0.7103,0.0199,8,0.0133,0.7103 ± 0.0133
PEMS-SF,linear_rope,0.7066,0.0286,8,0.0191,0.7066 ± 0.0191
PenDigits,convtran,0.9825,0.0017,8,0.0012,0.9825 ± 0.0012
PenDigits,linear_conv_adaptive_sin_pe,0.9619,0.0017,8,0.0012,0.9619 ± 0.0012
PenDigits,linear_mla,0.9428,0.0043,8,0.0029,0.9428 ± 0.0029
PenDigits,linear_rope,0.9004,0.0059,8,0.0040,0.9004 ± 0.0040
PhonemeSpectra,convtran,0.2535,0.0102,8,0.0069,0.2535 ± 0.0069
PhonemeSpectra,linear_conv_adaptive_sin_pe,0.0662,0.0022,8,0.0015,0.0662 ± 0.0015
PhonemeSpectra,linear_mla,0.0674,0.0047,8,0.0031,0.0674 ± 0.0031
PhonemeSpectra,linear_rope,0.0895,0.0084,9,0.0052,0.0895 ± 0.0052
RacketSports,convtran,0.7866,0.0242,9,0.0150,0.7866 ± 0.0150
RacketSports,linear_conv_adaptive_sin_pe,0.8544,0.0114,8,0.0076,0.8544 ± 0.0076
RacketSports,linear_mla,0.8273,0.0179,8,0.0120,0.8273 ± 0.0120
RacketSports,linear_rope,0.8306,0.0152,8,0.0102,0.8306 ± 0.0102
SelfRegulationSCP1,convtran,0.8481,0.0211,8,0.0141,0.8481 ± 0.0141
SelfRegulationSCP1,linear_conv_adaptive_sin_pe,0.8157,0.0158,8,0.0106,0.8157 ± 0.0106
SelfRegulationSCP1,linear_mla,0.7624,0.0324,8,0.0217,0.7624 ± 0.0217
SelfRegulationSCP1,linear_rope,0.7786,0.0373,8,0.0250,0.7786 ± 0.0250
SelfRegulationSCP2,convtran,0.5264,0.0222,8,0.0148,0.5264 ± 0.0148
SelfRegulationSCP2,linear_conv_adaptive_sin_pe,0.5432,0.0138,9,0.0086,0.5432 ± 0.0086
SelfRegulationSCP2,linear_mla,0.5278,0.0136,8,0.0091,0.5278 ± 0.0091
SelfRegulationSCP2,linear_rope,0.5403,0.0097,8,0.0065,0.5403 ± 0.0065
SpokenArabicDigits,convtran,0.9610,0.0043,8,0.0029,0.9610 ± 0.0029
SpokenArabicDigits,linear_conv_adaptive_sin_pe,0.9782,0.0034,8,0.0023,0.9782 ± 0.0023
SpokenArabicDigits,linear_mla,0.9629,0.0044,8,0.0029,0.9629 ± 0.0029
SpokenArabicDigits,linear_rope,0.9645,0.0040,8,0.0027,0.9645 ± 0.0027
StandWalkJump,convtran,0.3667,0.0720,10,0.0417,0.3667 ± 0.0417
StandWalkJump,linear_conv_adaptive_sin_pe,0.3333,0.0471,9,0.0292,0.3333 ± 0.0292
StandWalkJump,linear_mla,0.3083,0.0345,8,0.0231,0.3083 ± 0.0231
StandWalkJump,linear_rope,0.2834,0.0591,8,0.0396,0.2834 ± 0.0396
UWaveGestureLibraryAll,convtran,0.9548,0.0041,8,0.0027,0.9548 ± 0.0027
UWaveGestureLibraryAll,linear_conv_adaptive_sin_pe,0.8910,0.0062,8,0.0041,0.8910 ± 0.0041
UWaveGestureLibraryAll,linear_mla,0.8138,0.0139,8,0.0093,0.8138 ± 0.0093
UWaveGestureLibraryAll,linear_rope,0.8596,0.0115,8,0.0077,0.8596 ± 0.0077
